,Home,Away,Bet,Outcome,Line,Odds,Matchup
1,NY Yankees,SEA Mariners,Will Logan Gilbert Record a Win?,Yes,220,NA,NY Yankees - SEA Mariners
2,NY Yankees,SEA Mariners,Will Logan Gilbert Record a Win?,No,-310,NA,NY Yankees - SEA Mariners
3,NY Yankees,SEA Mariners,Cal Raleigh Home Runs,Over,390,0.5,NY Yankees - SEA Mariners
4,NY Yankees,SEA Mariners,Cal Raleigh Home Runs,Under,-600,0.5,NY Yankees - SEA Mariners
5,NY Yankees,SEA Mariners,Team To Win Most Innings,SEA Mariners,120,NA,NY Yankees - SEA Mariners
6,NY Yankees,SEA Mariners,Team To Win Most Innings,NY Yankees,-160,NA,NY Yankees - SEA Mariners
7,NY Yankees,SEA Mariners,Aaron Judge RBIs,Over,-115,0.5,NY Yankees - SEA Mariners
8,NY Yankees,SEA Mariners,Aaron Judge RBIs,Under,-115,0.5,NY Yankees - SEA Mariners
9,NY Yankees,SEA Mariners,Matt Carpenter Total Bases,Over,-165,0.5,NY Yankees - SEA Mariners
10,NY Yankees,SEA Mariners,Matt Carpenter Total Bases,Under,125,0.5,NY Yankees - SEA Mariners
11,NY Yankees,SEA Mariners,Jesse Winker Doubles,Over,390,0.5,NY Yankees - SEA Mariners
12,NY Yankees,SEA Mariners,Jesse Winker Doubles,Under,-650,0.5,NY Yankees - SEA Mariners
13,NY Yankees,SEA Mariners,Jameson Taillon Earned Runs Allowed,Over,-105,2.5,NY Yankees - SEA Mariners
14,NY Yankees,SEA Mariners,Jameson Taillon Earned Runs Allowed,Under,-125,2.5,NY Yankees - SEA Mariners
15,NY Yankees,SEA Mariners,Matt Carpenter Singles,Over,170,0.5,NY Yankees - SEA Mariners
16,NY Yankees,SEA Mariners,Matt Carpenter Singles,Under,-235,0.5,NY Yankees - SEA Mariners
17,NY Yankees,SEA Mariners,Runs - 1st Inning,Over,-110,0.5,NY Yankees - SEA Mariners
18,NY Yankees,SEA Mariners,Runs - 1st Inning,Under,-115,0.5,NY Yankees - SEA Mariners
19,NY Yankees,SEA Mariners,Runs - 1st Inning,Over,235,1.5,NY Yankees - SEA Mariners
20,NY Yankees,SEA Mariners,Runs - 1st Inning,Under,-320,1.5,NY Yankees - SEA Mariners
21,NY Yankees,SEA Mariners,Jose Trevino Runs,Over,170,0.5,NY Yankees - SEA Mariners
22,NY Yankees,SEA Mariners,Jose Trevino Runs,Under,-230,0.5,NY Yankees - SEA Mariners
23,NY Yankees,SEA Mariners,Eugenio Suarez Hits,Over,-195,0.5,NY Yankees - SEA Mariners
24,NY Yankees,SEA Mariners,Eugenio Suarez Hits,Under,145,0.5,NY Yankees - SEA Mariners
25,NY Yankees,SEA Mariners,Adam Frazier Singles,Over,-180,0.5,NY Yankees - SEA Mariners
26,NY Yankees,SEA Mariners,Adam Frazier Singles,Under,135,0.5,NY Yankees - SEA Mariners
27,NY Yankees,SEA Mariners,Andrew Benintendi Home Runs,Over,600,0.5,NY Yankees - SEA Mariners
28,NY Yankees,SEA Mariners,Andrew Benintendi Home Runs,Under,-1200,0.5,NY Yankees - SEA Mariners
29,NY Yankees,SEA Mariners,Andrew Benintendi Runs,Over,140,0.5,NY Yankees - SEA Mariners
30,NY Yankees,SEA Mariners,Andrew Benintendi Runs,Under,-190,0.5,NY Yankees - SEA Mariners
31,NY Yankees,SEA Mariners,Total 1st 5 Innings,Over,-115,4.5,NY Yankees - SEA Mariners
32,NY Yankees,SEA Mariners,Total 1st 5 Innings,Under,-115,4.5,NY Yankees - SEA Mariners
33,NY Yankees,SEA Mariners,Aaron Judge Stolen Bases,Over,800,0.5,NY Yankees - SEA Mariners
34,NY Yankees,SEA Mariners,Aaron Judge Stolen Bases,Under,-2500,0.5,NY Yankees - SEA Mariners
35,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Runs,Over,155,0.5,NY Yankees - SEA Mariners
36,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Runs,Under,-210,0.5,NY Yankees - SEA Mariners
37,NY Yankees,SEA Mariners,1st Run,SEA Mariners,-125,NA,NY Yankees - SEA Mariners
38,NY Yankees,SEA Mariners,1st Run,NY Yankees,-105,NA,NY Yankees - SEA Mariners
39,NY Yankees,SEA Mariners,Anthony Rizzo Home Runs,Over,300,0.5,NY Yankees - SEA Mariners
40,NY Yankees,SEA Mariners,Anthony Rizzo Home Runs,Under,-450,0.5,NY Yankees - SEA Mariners
41,NY Yankees,SEA Mariners,Matt Carpenter Home Runs,Over,310,0.5,NY Yankees - SEA Mariners
42,NY Yankees,SEA Mariners,Matt Carpenter Home Runs,Under,-475,0.5,NY Yankees - SEA Mariners
43,NY Yankees,SEA Mariners,Race to 6 Runs,SEA Mariners,310,NA,NY Yankees - SEA Mariners
44,NY Yankees,SEA Mariners,Race to 6 Runs,Neither,-105,NA,NY Yankees - SEA Mariners
45,NY Yankees,SEA Mariners,Race to 6 Runs,NY Yankees,190,NA,NY Yankees - SEA Mariners
46,NY Yankees,SEA Mariners,NY Yankees Score First + Win,Yes,145,NA,NY Yankees - SEA Mariners
47,NY Yankees,SEA Mariners,NY Yankees Score First + Win,No,-195,NA,NY Yankees - SEA Mariners
48,NY Yankees,SEA Mariners,Carlos Santana Runs,Over,130,0.5,NY Yankees - SEA Mariners
49,NY Yankees,SEA Mariners,Carlos Santana Runs,Under,-175,0.5,NY Yankees - SEA Mariners
50,NY Yankees,SEA Mariners,Jarred Kelenic RBIs,Over,240,0.5,NY Yankees - SEA Mariners
51,NY Yankees,SEA Mariners,Jarred Kelenic RBIs,Under,-340,0.5,NY Yankees - SEA Mariners
52,NY Yankees,SEA Mariners,Aaron Hicks Hits,Over,-120,0.5,NY Yankees - SEA Mariners
53,NY Yankees,SEA Mariners,Aaron Hicks Hits,Under,-110,0.5,NY Yankees - SEA Mariners
54,NY Yankees,SEA Mariners,DJ LeMahieu Runs,Over,-120,0.5,NY Yankees - SEA Mariners
55,NY Yankees,SEA Mariners,DJ LeMahieu Runs,Under,-110,0.5,NY Yankees - SEA Mariners
56,NY Yankees,SEA Mariners,Carlos Santana RBIs,Over,165,0.5,NY Yankees - SEA Mariners
57,NY Yankees,SEA Mariners,Carlos Santana RBIs,Under,-230,0.5,NY Yankees - SEA Mariners
58,NY Yankees,SEA Mariners,J.P. Crawford Singles,Over,-135,0.5,NY Yankees - SEA Mariners
59,NY Yankees,SEA Mariners,J.P. Crawford Singles,Under,100,0.5,NY Yankees - SEA Mariners
60,NY Yankees,SEA Mariners,Kyle Lewis Runs,Over,140,0.5,NY Yankees - SEA Mariners
61,NY Yankees,SEA Mariners,Kyle Lewis Runs,Under,-185,0.5,NY Yankees - SEA Mariners
62,NY Yankees,SEA Mariners,Anthony Rizzo Singles,Over,125,0.5,NY Yankees - SEA Mariners
63,NY Yankees,SEA Mariners,Anthony Rizzo Singles,Under,-165,0.5,NY Yankees - SEA Mariners
64,NY Yankees,SEA Mariners,DJ LeMahieu Home Runs,Over,650,0.5,NY Yankees - SEA Mariners
65,NY Yankees,SEA Mariners,DJ LeMahieu Home Runs,Under,-1400,0.5,NY Yankees - SEA Mariners
66,NY Yankees,SEA Mariners,NY Yankees: Team Total Runs - 1st 5 Innings,Over,105,2.5,NY Yankees - SEA Mariners
67,NY Yankees,SEA Mariners,NY Yankees: Team Total Runs - 1st 5 Innings,Under,-125,2.5,NY Yankees - SEA Mariners
68,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Singles,Over,-130,0.5,NY Yankees - SEA Mariners
69,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Singles,Under,100,0.5,NY Yankees - SEA Mariners
70,NY Yankees,SEA Mariners,Aaron Hicks Total Bases,Over,-120,0.5,NY Yankees - SEA Mariners
71,NY Yankees,SEA Mariners,Aaron Hicks Total Bases,Under,-110,0.5,NY Yankees - SEA Mariners
72,NY Yankees,SEA Mariners,Carlos Santana Doubles,Over,425,0.5,NY Yankees - SEA Mariners
73,NY Yankees,SEA Mariners,Carlos Santana Doubles,Under,-750,0.5,NY Yankees - SEA Mariners
74,NY Yankees,SEA Mariners,Carlos Santana Singles,Over,115,0.5,NY Yankees - SEA Mariners
75,NY Yankees,SEA Mariners,Carlos Santana Singles,Under,-150,0.5,NY Yankees - SEA Mariners
76,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Stolen Bases,Over,550,0.5,NY Yankees - SEA Mariners
77,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Stolen Bases,Under,-1100,0.5,NY Yankees - SEA Mariners
78,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Hits,Over,-215,0.5,NY Yankees - SEA Mariners
79,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Hits,Under,160,0.5,NY Yankees - SEA Mariners
80,NY Yankees,SEA Mariners,SEA Mariners: Team Total Runs,Over,-120,3.5,NY Yankees - SEA Mariners
81,NY Yankees,SEA Mariners,SEA Mariners: Team Total Runs,Under,-110,3.5,NY Yankees - SEA Mariners
82,NY Yankees,SEA Mariners,DJ LeMahieu Total Bases,Over,120,1.5,NY Yankees - SEA Mariners
83,NY Yankees,SEA Mariners,DJ LeMahieu Total Bases,Under,-165,1.5,NY Yankees - SEA Mariners
84,NY Yankees,SEA Mariners,Josh Donaldson RBIs,Over,155,0.5,NY Yankees - SEA Mariners
85,NY Yankees,SEA Mariners,Josh Donaldson RBIs,Under,-205,0.5,NY Yankees - SEA Mariners
86,NY Yankees,SEA Mariners,Adam Frazier Hits,Over,180,1.5,NY Yankees - SEA Mariners
87,NY Yankees,SEA Mariners,Adam Frazier Hits,Under,-250,1.5,NY Yankees - SEA Mariners
88,NY Yankees,SEA Mariners,Moneyline 1st 5 Innings,SEA Mariners,130,NA,NY Yankees - SEA Mariners
89,NY Yankees,SEA Mariners,Moneyline 1st 5 Innings,NY Yankees,-160,NA,NY Yankees - SEA Mariners
90,NY Yankees,SEA Mariners,J.P. Crawford Doubles,Over,390,0.5,NY Yankees - SEA Mariners
91,NY Yankees,SEA Mariners,J.P. Crawford Doubles,Under,-650,0.5,NY Yankees - SEA Mariners
92,NY Yankees,SEA Mariners,Jesse Winker Runs,Over,110,0.5,NY Yankees - SEA Mariners
93,NY Yankees,SEA Mariners,Jesse Winker Runs,Under,-145,0.5,NY Yankees - SEA Mariners
94,NY Yankees,SEA Mariners,Josh Donaldson Runs,Over,120,0.5,NY Yankees - SEA Mariners
95,NY Yankees,SEA Mariners,Josh Donaldson Runs,Under,-155,0.5,NY Yankees - SEA Mariners
96,NY Yankees,SEA Mariners,Matt Carpenter Doubles,Over,450,0.5,NY Yankees - SEA Mariners
97,NY Yankees,SEA Mariners,Matt Carpenter Doubles,Under,-800,0.5,NY Yankees - SEA Mariners
98,NY Yankees,SEA Mariners,Race to 4 Runs,SEA Mariners,155,NA,NY Yankees - SEA Mariners
99,NY Yankees,SEA Mariners,Race to 4 Runs,Neither,425,NA,NY Yankees - SEA Mariners
100,NY Yankees,SEA Mariners,Race to 4 Runs,NY Yankees,-105,NA,NY Yankees - SEA Mariners
101,NY Yankees,SEA Mariners,Aaron Hicks Doubles,Over,600,0.5,NY Yankees - SEA Mariners
102,NY Yankees,SEA Mariners,Aaron Hicks Doubles,Under,-1200,0.5,NY Yankees - SEA Mariners
103,NY Yankees,SEA Mariners,DJ LeMahieu Singles,Over,-160,0.5,NY Yankees - SEA Mariners
104,NY Yankees,SEA Mariners,DJ LeMahieu Singles,Under,120,0.5,NY Yankees - SEA Mariners
105,NY Yankees,SEA Mariners,DJ LeMahieu RBIs,Over,205,0.5,NY Yankees - SEA Mariners
106,NY Yankees,SEA Mariners,DJ LeMahieu RBIs,Under,-285,0.5,NY Yankees - SEA Mariners
107,NY Yankees,SEA Mariners,Adam Frazier Runs,Over,120,0.5,NY Yankees - SEA Mariners
108,NY Yankees,SEA Mariners,Adam Frazier Runs,Under,-160,0.5,NY Yankees - SEA Mariners
109,NY Yankees,SEA Mariners,Jarred Kelenic Singles,Over,165,0.5,NY Yankees - SEA Mariners
110,NY Yankees,SEA Mariners,Jarred Kelenic Singles,Under,-225,0.5,NY Yankees - SEA Mariners
111,NY Yankees,SEA Mariners,Anthony Rizzo Stolen Bases,Over,950,0.5,NY Yankees - SEA Mariners
112,NY Yankees,SEA Mariners,Anthony Rizzo Stolen Bases,Under,-3500,0.5,NY Yankees - SEA Mariners
113,NY Yankees,SEA Mariners,Cal Raleigh Singles,Over,165,0.5,NY Yankees - SEA Mariners
114,NY Yankees,SEA Mariners,Cal Raleigh Singles,Under,-220,0.5,NY Yankees - SEA Mariners
115,NY Yankees,SEA Mariners,Logan Gilbert Hits Allowed,Over,-130,5.5,NY Yankees - SEA Mariners
116,NY Yankees,SEA Mariners,Logan Gilbert Hits Allowed,Under,100,5.5,NY Yankees - SEA Mariners
117,NY Yankees,SEA Mariners,Jose Trevino RBIs,Over,215,0.5,NY Yankees - SEA Mariners
118,NY Yankees,SEA Mariners,Jose Trevino RBIs,Under,-300,0.5,NY Yankees - SEA Mariners
119,NY Yankees,SEA Mariners,Jarred Kelenic Doubles,Over,500,0.5,NY Yankees - SEA Mariners
120,NY Yankees,SEA Mariners,Jarred Kelenic Doubles,Under,-1000,0.5,NY Yankees - SEA Mariners
121,NY Yankees,SEA Mariners,Isiah Kiner-Falefa Doubles,Over,475,0.5,NY Yankees - SEA Mariners
