"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","MIN Twins","KC Royals","Luis Arraez Total Bases","Over","1.5","+120","MIN Twins - KC Royals"
"2","MIN Twins","KC Royals","Luis Arraez Total Bases","Under","1.5","-160","MIN Twins - KC Royals"
"3","MIN Twins","KC Royals","Carlos Correa Total Bases","Over","1.5","+110","MIN Twins - KC Royals"
"4","MIN Twins","KC Royals","Carlos Correa Total Bases","Under","1.5","-150","MIN Twins - KC Royals"
"5","MIN Twins","KC Royals","Jose Miranda Singles","Over","0.5","-105","MIN Twins - KC Royals"
"6","MIN Twins","KC Royals","Jose Miranda Singles","Under","0.5","-125","MIN Twins - KC Royals"
"7","MIN Twins","KC Royals","Gilberto Celestino RBIs","Over","0.5","+255","MIN Twins - KC Royals"
"8","MIN Twins","KC Royals","Gilberto Celestino RBIs","Under","0.5","-370","MIN Twins - KC Royals"
"9","MIN Twins","KC Royals","Kris Bubic Walks Allowed","Over","1.5","-155","MIN Twins - KC Royals"
"10","MIN Twins","KC Royals","Kris Bubic Walks Allowed","Under","1.5","+115","MIN Twins - KC Royals"
"11","MIN Twins","KC Royals","Luis Arraez Doubles","Over","0.5","+370","MIN Twins - KC Royals"
"12","MIN Twins","KC Royals","Luis Arraez Doubles","Under","0.5","-600","MIN Twins - KC Royals"
"13","MIN Twins","KC Royals","Jake Cave Home Runs","Over","0.5","+750","MIN Twins - KC Royals"
"14","MIN Twins","KC Royals","Jake Cave Home Runs","Under","0.5","-2000","MIN Twins - KC Royals"
"15","MIN Twins","KC Royals","Nate Eaton Hits","Over","0.5","-150","MIN Twins - KC Royals"
"16","MIN Twins","KC Royals","Nate Eaton Hits","Under","0.5","+110","MIN Twins - KC Royals"
"17","MIN Twins","KC Royals","Jose Miranda Hits","Over","0.5","-275","MIN Twins - KC Royals"
"18","MIN Twins","KC Royals","Jose Miranda Hits","Under","0.5","+200","MIN Twins - KC Royals"
"19","MIN Twins","KC Royals","Nate Eaton Singles","Over","0.5","+135","MIN Twins - KC Royals"
"20","MIN Twins","KC Royals","Nate Eaton Singles","Under","0.5","-180","MIN Twins - KC Royals"
"21","MIN Twins","KC Royals","Race to 4 Runs","KC Royals",NA,"+170","MIN Twins - KC Royals"
"22","MIN Twins","KC Royals","Race to 4 Runs","Neither",NA,"+390","MIN Twins - KC Royals"
"23","MIN Twins","KC Royals","Race to 4 Runs","MIN Twins",NA,"-105","MIN Twins - KC Royals"
"24","MIN Twins","KC Royals","Race to 3 Runs","KC Royals",NA,"+135","MIN Twins - KC Royals"
"25","MIN Twins","KC Royals","Race to 3 Runs","Neither",NA,"+900","MIN Twins - KC Royals"
"26","MIN Twins","KC Royals","Race to 3 Runs","MIN Twins",NA,"-135","MIN Twins - KC Royals"
"27","MIN Twins","KC Royals","KC Royals to Score - 1st Inning","Yes",NA,"+235","MIN Twins - KC Royals"
"28","MIN Twins","KC Royals","KC Royals to Score - 1st Inning","No",NA,"-340","MIN Twins - KC Royals"
"29","MIN Twins","KC Royals","Inning of Last Score","9th Inning",NA,"+200","MIN Twins - KC Royals"
"30","MIN Twins","KC Royals","Inning of Last Score","8th Inning",NA,"+225","MIN Twins - KC Royals"
"31","MIN Twins","KC Royals","Inning of Last Score","7th Inning",NA,"+450","MIN Twins - KC Royals"
"32","MIN Twins","KC Royals","Inning of Last Score","10th Inning or Later",NA,"+800","MIN Twins - KC Royals"
"33","MIN Twins","KC Royals","Inning of Last Score","6th Inning",NA,"+850","MIN Twins - KC Royals"
"34","MIN Twins","KC Royals","Inning of Last Score","5th Inning",NA,"+1600","MIN Twins - KC Royals"
"35","MIN Twins","KC Royals","Inning of Last Score","4th Inning",NA,"+3000","MIN Twins - KC Royals"
"36","MIN Twins","KC Royals","Inning of Last Score","3rd Inning",NA,"+4500","MIN Twins - KC Royals"
"37","MIN Twins","KC Royals","Inning of Last Score","2nd Inning",NA,"+6000","MIN Twins - KC Royals"
"38","MIN Twins","KC Royals","Inning of Last Score","1st Inning",NA,"+7000","MIN Twins - KC Royals"
"39","MIN Twins","KC Royals","Gary Sanchez Total Bases","Over","0.5","-155","MIN Twins - KC Royals"
"40","MIN Twins","KC Royals","Gary Sanchez Total Bases","Under","0.5","+115","MIN Twins - KC Royals"
"41","MIN Twins","KC Royals","MJ Melendez Runs","Over","0.5","-110","MIN Twins - KC Royals"
"42","MIN Twins","KC Royals","MJ Melendez Runs","Under","0.5","-120","MIN Twins - KC Royals"
"43","MIN Twins","KC Royals","Race to 6 Runs","KC Royals",NA,"+340","MIN Twins - KC Royals"
"44","MIN Twins","KC Royals","Race to 6 Runs","Neither",NA,"-105","MIN Twins - KC Royals"
"45","MIN Twins","KC Royals","Race to 6 Runs","MIN Twins",NA,"+190","MIN Twins - KC Royals"
"46","MIN Twins","KC Royals","Race to 7 Runs","KC Royals",NA,"+500","MIN Twins - KC Royals"
